Action,HRID,Tars Key,Rate Level,Product,External System Code,External Code,Nb Pax,Tars Key Type,Declared in Systems,Booking Limit
A,HC1I6,,,TWAZ,DQ,TWAZ,1,,No,No
A,HC1I6,,,TWAZ,DQ,TWAZ,2,,No,No
A,HC1I6,,,TWAZ,DQ,TWAZ,3,,No,No
A,HC1I6,,,TWAZ,DQ,TWAZ,4,,No,No
A,HC1I6,,,TWAZ,HO,TWAZ,1,,No,No
A,HC1I6,,,TWAZ,HO,TWAZ,2,,No,No
A,HC1I6,,,TWAZ,HO,TWAZ,3,,No,No
A,HC1I6,,,TWAZ,HO,TWAZ,4,,No,No
A,HC1I6,,,TWAZ,TE,TWAZ,1,,No,No
A,HC1I6,,,TWAZ,TE,TWAZ,2,,No,No
A,HC1I6,,,TWAZ,TE,TWAZ,3,,No,No
A,HC1I6,,,TWAZ,TE,TWAZ,4,,No,No
A,HC1I6,,,TFBMV,1A,C3S,1,,No,No
A,HC1I6,,,TFBMV,1A,C3S,2,,No,No
A,HC1I6,,,TFBMV,1A,C3S,3,,No,No
A,HC1I6,,,TFBMV,1A,C3S,4,,No,No
A,HC1I6,,,TFBMV,AA,C3S,1,,No,No
A,HC1I6,,,TFBMV,AA,C3S,2,,No,No
A,HC1I6,,,TFBMV,AA,C3S,3,,No,No
A,HC1I6,,,TFBMV,AA,C3S,4,,No,No
A,HC1I6,,,TFBMV,UA,C3S,1,,No,No
A,HC1I6,,,TFBMV,UA,C3S,2,,No,No
A,HC1I6,,,TFBMV,UA,C3S,3,,No,No
A,HC1I6,,,TFBMV,UA,C3S,4,,No,No
A,HC1I6,,,TFBMV,TW,C3S,1,,No,No
A,HC1I6,,,TFBMV,TW,C3S,2,,No,No
A,HC1I6,,,TFBMV,TW,C3S,3,,No,No
A,HC1I6,,,TFBMV,TW,C3S,4,,No,No
A,HC1I6,,,TFBMV,WB,C3S,1,,No,No
A,HC1I6,,,TFBMV,WB,C3S,2,,No,No
A,HC1I6,,,TFBMV,WB,C3S,3,,No,No
A,HC1I6,,,TFBMV,WB,C3S,4,,No,No
A,HC1I6,,,TFBMV,DQ,TFBMV,1,,No,No
A,HC1I6,,,TFBMV,DQ,TFBMV,2,,No,No
A,HC1I6,,,TFBMV,DQ,TFBMV,3,,No,No
A,HC1I6,,,TFBMV,DQ,TFBMV,4,,No,No
A,HC1I6,,,TFBMV,HO,TFBMV,1,,No,No
A,HC1I6,,,TFBMV,HO,TFBMV,2,,No,No
A,HC1I6,,,TFBMV,HO,TFBMV,3,,No,No
A,HC1I6,,,TFBMV,HO,TFBMV,4,,No,No
A,HC1I6,,,TFBMV,TE,TFBMV,1,,No,No
A,HC1I6,,,TFBMV,TE,TFBMV,2,,No,No
A,HC1I6,,,TFBMV,TE,TFBMV,3,,No,No
A,HC1I6,,,TFBMV,TE,TFBMV,4,,No,No
A,HC1I6,,,S4AZ,1A,C5S,1,,No,No
A,HC1I6,,,S4AZ,1A,C5S,2,,No,No
A,HC1I6,,,S4AZ,1A,C5S,3,,No,No
A,HC1I6,,,S4AZ,1A,C5S,4,,No,No
A,HC1I6,,,S4AZ,1A,C5S,5,,No,No
A,HC1I6,,,S4AZ,AA,C5S,1,,No,No
A,HC1I6,,,S4AZ,AA,C5S,2,,No,No
A,HC1I6,,,S4AZ,AA,C5S,3,,No,No
A,HC1I6,,,S4AZ,AA,C5S,4,,No,No
A,HC1I6,,,S4AZ,AA,C5S,5,,No,No
A,HC1I6,,,S4AZ,UA,C5S,1,,No,No
A,HC1I6,,,S4AZ,UA,C5S,2,,No,No
A,HC1I6,,,S4AZ,UA,C5S,3,,No,No
A,HC1I6,,,S4AZ,UA,C5S,4,,No,No
A,HC1I6,,,S4AZ,UA,C5S,5,,No,No
A,HC1I6,,,S4AZ,TW,C5S,1,,No,No
A,HC1I6,,,S4AZ,TW,C5S,2,,No,No
A,HC1I6,,,S4AZ,TW,C5S,3,,No,No
A,HC1I6,,,S4AZ,TW,C5S,4,,No,No
A,HC1I6,,,S4AZ,TW,C5S,5,,No,No
A,HC1I6,,,S4AZ,WB,C5S,1,,No,No
A,HC1I6,,,S4AZ,WB,C5S,2,,No,No
A,HC1I6,,,S4AZ,WB,C5S,3,,No,No
A,HC1I6,,,S4AZ,WB,C5S,4,,No,No
A,HC1I6,,,S4AZ,WB,C5S,5,,No,No
A,HC1I6,,,S4AZ,DQ,S4AZ,1,,No,No
A,HC1I6,,,S4AZ,DQ,S4AZ,2,,No,No
A,HC1I6,,,S4AZ,DQ,S4AZ,3,,No,No
A,HC1I6,,,S4AZ,DQ,S4AZ,4,,No,No
A,HC1I6,,,S4AZ,DQ,S4AZ,5,,No,No
A,HC1I6,,,S4AZ,HO,S4AZ,1,,No,No
A,HC1I6,,,S4AZ,HO,S4AZ,2,,No,No
A,HC1I6,,,S4AZ,HO,S4AZ,3,,No,No
A,HC1I6,,,S4AZ,HO,S4AZ,4,,No,No
A,HC1I6,,,S4AZ,HO,S4AZ,5,,No,No
A,HC1I6,,,S4AZ,TE,S4AZ,1,,No,No
A,HC1I6,,,S4AZ,TE,S4AZ,2,,No,No
A,HC1I6,,,S4AZ,TE,S4AZ,3,,No,No
A,HC1I6,,,S4AZ,TE,S4AZ,4,,No,No
A,HC1I6,,,S4AZ,TE,S4AZ,5,,No,No
A,HC1I6,,,TWB,1A,D5S,1,,No,No
A,HC1I6,,,TWB,1A,D5S,2,,No,No
A,HC1I6,,,TWB,1A,D5S,3,,No,No
A,HC1I6,,,TWB,1A,D5S,4,,No,No
A,HC1I6,,,TWB,1A,D5S,5,,No,No
A,HC1I6,,,TWB,AA,D5S,1,,No,No
A,HC1I6,,,TWB,AA,D5S,2,,No,No
A,HC1I6,,,TWB,AA,D5S,3,,No,No
A,HC1I6,,,TWB,AA,D5S,4,,No,No
A,HC1I6,,,TWB,AA,D5S,5,,No,No
A,HC1I6,,,TWB,UA,D5S,1,,No,No
A,HC1I6,,,TWB,UA,D5S,2,,No,No
A,HC1I6,,,TWB,UA,D5S,3,,No,No
A,HC1I6,,,TWB,UA,D5S,4,,No,No
A,HC1I6,,,TWB,UA,D5S,5,,No,No
A,HC1I6,,,TWB,TW,D5S,1,,No,No
A,HC1I6,,,TWB,TW,D5S,2,,No,No
A,HC1I6,,,TWB,TW,D5S,3,,No,No
A,HC1I6,,,TWB,TW,D5S,4,,No,No
A,HC1I6,,,TWB,TW,D5S,5,,No,No
A,HC1I6,,,TWB,WB,D5S,1,,No,No
A,HC1I6,,,TWB,WB,D5S,2,,No,No
A,HC1I6,,,TWB,WB,D5S,3,,No,No
A,HC1I6,,,TWB,WB,D5S,4,,No,No
A,HC1I6,,,TWB,WB,D5S,5,,No,No
A,HC1I6,,,TWB,DQ,TWB,1,,No,No
A,HC1I6,,,TWB,DQ,TWB,2,,No,No
A,HC1I6,,,TWB,DQ,TWB,3,,No,No
A,HC1I6,,,TWB,DQ,TWB,4,,No,No
A,HC1I6,,,TWB,DQ,TWB,5,,No,No
A,HC1I6,,,TWB,HO,TWB,1,,No,No
A,HC1I6,,,TWB,HO,TWB,2,,No,No
A,HC1I6,,,TWB,HO,TWB,3,,No,No
A,HC1I6,,,TWB,HO,TWB,4,,No,No
A,HC1I6,,,TWB,HO,TWB,5,,No,No
A,HC1I6,,,TWB,TE,TWB,1,,No,No
A,HC1I6,,,TWB,TE,TWB,2,,No,No
A,HC1I6,,,TWB,TE,TWB,3,,No,No
A,HC1I6,,,TWB,TE,TWB,4,,No,No
A,HC1I6,,,TWB,TE,TWB,5,,No,No
A,HC1I6,,,SWA,1A,J6S,1,,No,No
A,HC1I6,,,SWA,1A,J6S,2,,No,No
A,HC1I6,,,SWA,1A,J6S,3,,No,No
A,HC1I6,,,SWA,1A,J6S,4,,No,No
A,HC1I6,,,SWA,1A,J6S,5,,No,No
A,HC1I6,,,SWA,1A,J6S,6,,No,No
A,HC1I6,,,SWA,AA,J6S,1,,No,No
A,HC1I6,,,SWA,AA,J6S,2,,No,No
